;or;ex;weight
195;16_t0;30_t1;15.527908325195312
196;17_t0;0_t1;15.359915733337402
197;17_t0;1_t1;14.777667999267578
198;17_t0;4_t1;15.326468467712402
199;17_t0;5_t1;15.236425399780273
200;17_t0;8_t1;15.527908325195312
201;17_t0;11_t1;15.527908325195312
202;17_t0;14_t1;15.899148941040039
203;17_t0;15_t1;11.902831077575684
204;17_t0;17_t1;15.527908325195312
205;17_t0;20_t1;15.527908325195312
206;17_t0;23_t1;15.527908325195312
207;17_t0;26_t1;15.527908325195312
208;17_t0;27_t1;15.527908325195312
209;17_t0;30_t1;15.527908325195312
210;0_t1;0_t2;15.371094703674316
211;0_t1;1_t2;14.78490161895752
212;0_t1;3_t2;16.04669952392578
213;0_t1;4_t2;15.414306640625
214;0_t1;5_t2;15.280320167541504
215;0_t1;6_t2;12.37807846069336
216;0_t1;7_t2;15.579704284667969
217;0_t1;8_t2;15.579704284667969
218;0_t1;10_t2;15.579704284667969
219;0_t1;11_t2;15.579704284667969
220;0_t1;16_t2;15.579704284667969
221;0_t1;17_t2;15.579704284667969
222;0_t1;18_t2;15.579704284667969
223;0_t1;19_t2;15.579704284667969
224;1_t1;0_t2;15.371094703674316
225;1_t1;1_t2;14.78490161895752
226;1_t1;3_t2;16.04669952392578
227;1_t1;4_t2;15.414306640625
228;1_t1;5_t2;15.280320167541504
229;1_t1;7_t2;15.579704284667969
230;1_t1;8_t2;15.579704284667969
231;1_t1;9_t2;11.965773582458496
232;1_t1;10_t2;15.579704284667969
233;1_t1;11_t2;15.579704284667969
234;1_t1;16_t2;15.579704284667969
235;1_t1;17_t2;15.579704284667969
236;1_t1;21_t2;15.579704284667969
237;1_t1;22_t2;15.579704284667969
238;3_t1;0_t2;15.371094703674316
239;3_t1;1_t2;14.78490161895752
240;3_t1;2_t2;12.522486686706543
241;3_t1;3_t2;16.04669952392578
242;3_t1;5_t2;15.280320167541504
243;3_t1;7_t2;15.579704284667969
244;3_t1;10_t2;15.579704284667969
245;3_t1;12_t2;15.579704284667969
246;3_t1;14_t2;15.974553108215332
247;3_t1;16_t2;15.579704284667969
248;3_t1;20_t2;15.579704284667969
249;3_t1;23_t2;15.579704284667969
250;3_t1;24_t2;15.579704284667969
251;3_t1;27_t2;15.579704284667969
252;4_t1;0_t2;15.371094703674316
253;4_t1;1_t2;14.78490161895752
254;4_t1;2_t2;12.522486686706543
255;4_t1;4_t2;15.414306640625
256;4_t1;5_t2;15.280320167541504
257;4_t1;8_t2;15.579704284667969
258;4_t1;11_t2;15.579704284667969
259;4_t1;13_t2;15.579704284667969
260;4_t1;14_t2;15.974553108215332
261;4_t1;17_t2;15.579704284667969
262;4_t1;20_t2;15.579704284667969
263;4_t1;23_t2;15.579704284667969
264;4_t1;24_t2;15.579704284667969
